Time,Mean SVM (g)
2023-05-09 10:08:15,0.011314
2023-05-09 10:08:20,0.163454
2023-05-09 10:08:25,0.023778
2023-05-09 10:08:30,0.017534
2023-05-09 10:08:35,0.026113
2023-05-09 10:08:40,0.026128
2023-05-09 10:08:45,0.006159
2023-05-09 10:08:50,0.017298
2023-05-09 10:08:55,0.036873
2023-05-09 10:09:00,0.025653
2023-05-09 10:09:05,0.017544
2023-05-09 10:09:10,0.012046
2023-05-09 10:09:15,0.020131
2023-05-09 10:09:20,0.022133
2023-05-09 10:09:25,0.011304
2023-05-09 10:09:30,0.000518
2023-05-09 10:09:35,0.002636
2023-05-09 10:09:40,0.003133
2023-05-09 10:09:45,0.023763
2023-05-09 10:09:50,0.000000
2023-05-09 10:09:55,0.073231
2023-05-09 10:10:00,0.040777
2023-05-09 10:10:05,0.018278
2023-05-09 10:10:10,0.023821
2023-05-09 10:10:15,0.013642
2023-05-09 10:10:20,0.044830
2023-05-09 10:10:25,0.023660
2023-05-09 10:10:30,0.018264
2023-05-09 10:10:35,0.020031
2023-05-09 10:10:40,0.049161
2023-05-09 10:10:45,0.000000
2023-05-09 10:10:50,0.004749
2023-05-09 10:10:55,0.010722
2023-05-09 10:11:00,0.038789
2023-05-09 10:11:05,0.039296
2023-05-09 10:11:10,0.017284
2023-05-09 10:11:15,0.001697
2023-05-09 10:11:20,0.104919
2023-05-09 10:11:25,0.065568
2023-05-09 10:11:30,0.068903
2023-05-09 10:11:35,0.078212
2023-05-09 10:11:40,0.014259
2023-05-09 10:11:45,0.022614
2023-05-09 10:11:50,0.028997
2023-05-09 10:11:55,0.016244
2023-05-09 10:12:00,0.006893
2023-05-09 10:12:05,0.034745
2023-05-09 10:12:10,0.036729
2023-05-09 10:12:15,0.081768
2023-05-09 10:12:20,0.094357
2023-05-09 10:12:25,0.533495
2023-05-09 10:12:30,0.015505
2023-05-09 10:12:35,0.038869
2023-05-09 10:12:40,0.076121
2023-05-09 10:12:45,1.262010
2023-05-09 10:12:50,1.565001
2023-05-09 10:12:55,1.602331
2023-05-09 10:13:00,1.920195
2023-05-09 10:13:05,0.777442
2023-05-09 10:13:10,1.642034
2023-05-09 10:13:15,2.247345
2023-05-09 10:13:20,2.404962
2023-05-09 10:13:25,2.348143
2023-05-09 10:13:30,1.992607
2023-05-09 10:13:35,2.063084
2023-05-09 10:13:40,2.670228
2023-05-09 10:13:45,2.926187
2023-05-09 10:13:50,1.651369
2023-05-09 10:13:55,0.045890
2023-05-09 10:14:00,0.060008
2023-05-09 10:14:05,0.000000
2023-05-09 10:14:10,0.000000
2023-05-09 10:14:15,0.000171
2023-05-09 10:14:20,0.000000
2023-05-09 10:14:25,0.000000
2023-05-09 10:14:30,0.000105
2023-05-09 10:14:35,0.000144
2023-05-09 10:14:40,0.000095
2023-05-09 10:14:45,0.000000
2023-05-09 10:14:50,0.000093
2023-05-09 10:14:55,0.000005
2023-05-09 10:15:00,0.046064
2023-05-09 10:15:05,0.088565
2023-05-09 10:15:10,0.042612
2023-05-09 10:15:15,0.034337
2023-05-09 10:15:20,0.015602
2023-05-09 10:15:25,0.004830
2023-05-09 10:15:30,0.008761
2023-05-09 10:15:35,0.052785
2023-05-09 10:15:40,0.042246
2023-05-09 10:15:45,0.020628
2023-05-09 10:15:50,0.003201
2023-05-09 10:15:55,0.004573
2023-05-09 10:16:00,0.009294
2023-05-09 10:16:05,0.028744
2023-05-09 10:16:10,0.028970
2023-05-09 10:16:15,0.007658
2023-05-09 10:16:20,0.064977
2023-05-09 10:16:25,0.035547
2023-05-09 10:16:30,0.005071
2023-05-09 10:16:35,0.011821
2023-05-09 10:16:40,0.000675
2023-05-09 10:16:45,0.025362
2023-05-09 10:16:50,0.072381
2023-05-09 10:16:55,0.008210
2023-05-09 10:17:00,0.056472
2023-05-09 10:17:05,0.019144
2023-05-09 10:17:10,0.049425
2023-05-09 10:17:15,0.035885
2023-05-09 10:17:20,0.004985
2023-05-09 10:17:25,0.004381
2023-05-09 10:17:30,0.001167
2023-05-09 10:17:35,0.034634
2023-05-09 10:17:40,0.024794
2023-05-09 10:17:45,0.020314
2023-05-09 10:17:50,0.198315
2023-05-09 10:17:55,0.388081
2023-05-09 10:18:00,0.033461
2023-05-09 10:18:05,0.004095
2023-05-09 10:18:10,0.002269
2023-05-09 10:18:15,0.001957
2023-05-09 10:18:20,0.027068
2023-05-09 10:18:25,0.175082
2023-05-09 10:18:30,0.233758
2023-05-09 10:18:35,0.185813
2023-05-09 10:18:40,0.156549
2023-05-09 10:18:45,0.171101
2023-05-09 10:18:50,0.149396
2023-05-09 10:18:55,0.108260
2023-05-09 10:19:00,0.154197
2023-05-09 10:19:05,0.026399
2023-05-09 10:19:10,0.111692
2023-05-09 10:19:15,0.065332
2023-05-09 10:19:20,0.083321
2023-05-09 10:19:25,0.020816
2023-05-09 10:19:30,0.029000
2023-05-09 10:19:35,0.031316
2023-05-09 10:19:40,0.017187
2023-05-09 10:19:45,0.003376
2023-05-09 10:19:50,0.004797
2023-05-09 10:19:55,0.000075
2023-05-09 10:20:00,0.011702
2023-05-09 10:20:05,0.037931
2023-05-09 10:20:10,0.287160
2023-05-09 10:20:15,0.354852
2023-05-09 10:20:20,0.376287
2023-05-09 10:20:25,0.382602
2023-05-09 10:20:30,0.254896
2023-05-09 10:20:35,0.476122
2023-05-09 10:20:40,0.624879
2023-05-09 10:20:45,0.548760
2023-05-09 10:20:50,0.551414
2023-05-09 10:20:55,0.533272
2023-05-09 10:21:00,0.690158
2023-05-09 10:21:05,0.642602
2023-05-09 10:21:10,0.589326
2023-05-09 10:21:15,0.550503
2023-05-09 10:21:20,0.538693
2023-05-09 10:21:25,0.554744
2023-05-09 10:21:30,0.522855
2023-05-09 10:21:35,0.499420
2023-05-09 10:21:40,0.538429
2023-05-09 10:21:45,0.495956
2023-05-09 10:21:50,0.538753
2023-05-09 10:21:55,0.551002
2023-05-09 10:22:00,0.546663
2023-05-09 10:22:05,0.632569
2023-05-09 10:22:10,0.530504
2023-05-09 10:22:15,0.522252
2023-05-09 10:22:20,0.480876
