Time,Mean SVM (g)
2023-05-09 10:03:16,0.146527
2023-05-09 10:03:21,0.082732
2023-05-09 10:03:26,0.097542
2023-05-09 10:03:31,0.063135
2023-05-09 10:03:36,0.092950
2023-05-09 10:03:41,0.085689
2023-05-09 10:03:46,0.054028
2023-05-09 10:03:51,0.060617
2023-05-09 10:03:56,0.043447
2023-05-09 10:04:01,0.047657
2023-05-09 10:04:06,0.071735
2023-05-09 10:04:11,0.087891
2023-05-09 10:04:16,0.031415
2023-05-09 10:04:21,0.013573
2023-05-09 10:04:26,0.002776
2023-05-09 10:04:31,0.001641
2023-05-09 10:04:36,0.018237
2023-05-09 10:04:41,0.056154
2023-05-09 10:04:46,0.056892
2023-05-09 10:04:51,0.042964
2023-05-09 10:04:56,0.008386
2023-05-09 10:05:01,0.009062
2023-05-09 10:05:06,0.012046
2023-05-09 10:05:11,0.015078
2023-05-09 10:05:16,0.013786
2023-05-09 10:05:21,0.001132
2023-05-09 10:05:26,0.001209
2023-05-09 10:05:31,0.001828
2023-05-09 10:05:36,0.004800
2023-05-09 10:05:41,0.016364
2023-05-09 10:05:46,0.071536
2023-05-09 10:05:51,0.048940
2023-05-09 10:05:56,0.011122
2023-05-09 10:06:01,0.002057
2023-05-09 10:06:06,0.001390
2023-05-09 10:06:11,0.000273
2023-05-09 10:06:16,0.010378
2023-05-09 10:06:21,0.017837
2023-05-09 10:06:26,0.060551
2023-05-09 10:06:31,0.042882
2023-05-09 10:06:36,0.039630
2023-05-09 10:06:41,0.048158
2023-05-09 10:06:46,0.037501
2023-05-09 10:06:51,0.067241
2023-05-09 10:06:56,0.037317
2023-05-09 10:07:01,0.021020
2023-05-09 10:07:06,0.009672
2023-05-09 10:07:11,0.000322
2023-05-09 10:07:16,0.009011
2023-05-09 10:07:21,0.008520
2023-05-09 10:07:26,0.034860
2023-05-09 10:07:31,0.041790
2023-05-09 10:07:36,0.010448
2023-05-09 10:07:41,0.000460
2023-05-09 10:07:46,0.001001
2023-05-09 10:07:51,0.004258
2023-05-09 10:07:56,0.001301
2023-05-09 10:08:01,0.019386
2023-05-09 10:08:06,0.035622
2023-05-09 10:08:11,0.037861
2023-05-09 10:08:16,0.000026
2023-05-09 10:08:21,0.039705
2023-05-09 10:08:26,0.080033
2023-05-09 10:08:31,0.020540
2023-05-09 10:08:36,0.072650
2023-05-09 10:08:41,0.013194
2023-05-09 10:08:46,0.029630
2023-05-09 10:08:51,0.160904
2023-05-09 10:08:56,0.236477
2023-05-09 10:09:01,0.492882
2023-05-09 10:09:06,0.670543
2023-05-09 10:09:11,0.775039
2023-05-09 10:09:16,0.792183
2023-05-09 10:09:21,0.933924
2023-05-09 10:09:26,0.846864
2023-05-09 10:09:31,0.949134
2023-05-09 10:09:36,0.924567
2023-05-09 10:09:41,1.015653
2023-05-09 10:09:46,0.936473
2023-05-09 10:09:51,1.063568
2023-05-09 10:09:56,1.036610
2023-05-09 10:10:01,1.156763
2023-05-09 10:10:06,1.102155
2023-05-09 10:10:11,1.201735
2023-05-09 10:10:16,1.122284
2023-05-09 10:10:21,1.146327
2023-05-09 10:10:26,1.033862
2023-05-09 10:10:31,1.148108
2023-05-09 10:10:36,0.921840
2023-05-09 10:10:41,0.537227
2023-05-09 10:10:46,0.137934
2023-05-09 10:10:51,0.033588
2023-05-09 10:10:56,0.004828
2023-05-09 10:11:01,0.012324
2023-05-09 10:11:06,0.015157
2023-05-09 10:11:11,0.027579
2023-05-09 10:11:16,0.030321
2023-05-09 10:11:21,0.008541
