Time,Mean SVM (g)
2023-05-09 10:06:17,0.061910
2023-05-09 10:06:22,0.056707
2023-05-09 10:06:27,0.044797
2023-05-09 10:06:32,0.037554
2023-05-09 10:06:37,0.044643
2023-05-09 10:06:42,0.048129
2023-05-09 10:06:47,0.000000
2023-05-09 10:06:52,0.000110
2023-05-09 10:06:57,0.027491
2023-05-09 10:07:02,0.020925
2023-05-09 10:07:07,0.005426
2023-05-09 10:07:12,0.000740
2023-05-09 10:07:17,0.000227
2023-05-09 10:07:22,0.000295
2023-05-09 10:07:27,0.002890
2023-05-09 10:07:32,0.004600
2023-05-09 10:07:37,0.012244
2023-05-09 10:07:42,0.013914
2023-05-09 10:07:47,0.050501
2023-05-09 10:07:52,0.045491
2023-05-09 10:07:57,0.010487
2023-05-09 10:08:02,0.007991
2023-05-09 10:08:07,0.036910
2023-05-09 10:08:12,0.033958
2023-05-09 10:08:17,0.062579
2023-05-09 10:08:22,0.016029
2023-05-09 10:08:27,0.000006
2023-05-09 10:08:32,0.000330
2023-05-09 10:08:37,0.000021
2023-05-09 10:08:42,0.002311
2023-05-09 10:08:47,0.006136
2023-05-09 10:08:52,0.019916
2023-05-09 10:08:57,0.018777
2023-05-09 10:09:02,0.001776
2023-05-09 10:09:07,0.002683
2023-05-09 10:09:12,0.034473
2023-05-09 10:09:17,0.066307
2023-05-09 10:09:22,0.011529
2023-05-09 10:09:27,0.016194
2023-05-09 10:09:32,0.004811
2023-05-09 10:09:37,0.030207
2023-05-09 10:09:42,0.505647
2023-05-09 10:09:47,0.007922
2023-05-09 10:09:52,0.018718
2023-05-09 10:09:57,0.009694
2023-05-09 10:10:02,0.074622
2023-05-09 10:10:07,0.109233
2023-05-09 10:10:12,0.015126
2023-05-09 10:10:17,0.075333
2023-05-09 10:10:22,0.066015
2023-05-09 10:10:27,0.093105
2023-05-09 10:10:32,0.000277
2023-05-09 10:10:37,0.440933
2023-05-09 10:10:42,0.687607
2023-05-09 10:10:47,0.252646
2023-05-09 10:10:52,0.378711
2023-05-09 10:10:57,0.007223
2023-05-09 10:11:02,0.269244
2023-05-09 10:11:07,0.306362
2023-05-09 10:11:12,0.013001
2023-05-09 10:11:17,0.001751
2023-05-09 10:11:22,0.196135
2023-05-09 10:11:27,0.697251
2023-05-09 10:11:32,0.714309
2023-05-09 10:11:37,0.765407
2023-05-09 10:11:42,0.666552
2023-05-09 10:11:47,0.666393
2023-05-09 10:11:52,0.562626
2023-05-09 10:11:57,0.579167
2023-05-09 10:12:02,0.700231
2023-05-09 10:12:07,0.424124
2023-05-09 10:12:12,0.931642
2023-05-09 10:12:17,0.660240
2023-05-09 10:12:22,0.643851
2023-05-09 10:12:27,0.709826
2023-05-09 10:12:32,0.470328
2023-05-09 10:12:37,0.345842
2023-05-09 10:12:42,1.167251
2023-05-09 10:12:47,1.203120
2023-05-09 10:12:52,0.663083
2023-05-09 10:12:57,0.049725
2023-05-09 10:13:02,0.158170
2023-05-09 10:13:07,0.287316
2023-05-09 10:13:12,0.318928
2023-05-09 10:13:17,0.337349
2023-05-09 10:13:22,0.327645
2023-05-09 10:13:27,0.272092
2023-05-09 10:13:32,0.217138
2023-05-09 10:13:37,0.241363
2023-05-09 10:13:42,0.247482
2023-05-09 10:13:47,0.244486
2023-05-09 10:13:52,0.242373
2023-05-09 10:13:57,0.267974
2023-05-09 10:14:02,0.284896
2023-05-09 10:14:07,0.322419
2023-05-09 10:14:12,0.379992
2023-05-09 10:14:17,0.374304
2023-05-09 10:14:22,0.356816
2023-05-09 10:14:27,0.350522
2023-05-09 10:14:32,0.348346
2023-05-09 10:14:37,0.284212
2023-05-09 10:14:42,0.232338
2023-05-09 10:14:47,0.319825
2023-05-09 10:14:52,0.302167
2023-05-09 10:14:57,0.288393
2023-05-09 10:15:02,0.291397
2023-05-09 10:15:07,0.301973
2023-05-09 10:15:12,0.135952
2023-05-09 10:15:17,0.220384
2023-05-09 10:15:22,0.238962
2023-05-09 10:15:27,0.264427
2023-05-09 10:15:32,0.235177
2023-05-09 10:15:37,0.225909
2023-05-09 10:15:42,0.242643
2023-05-09 10:15:47,0.212232
2023-05-09 10:15:52,0.216396
2023-05-09 10:15:57,0.234463
2023-05-09 10:16:02,0.086769
2023-05-09 10:16:07,0.000024
2023-05-09 10:16:12,0.000000
2023-05-09 10:16:17,0.003096
2023-05-09 10:16:22,0.024805
2023-05-09 10:16:27,0.059874
2023-05-09 10:16:32,0.009073
2023-05-09 10:16:37,0.006356
2023-05-09 10:16:42,0.009153
2023-05-09 10:16:47,0.055378
2023-05-09 10:16:52,0.000289
2023-05-09 10:16:57,0.003005
2023-05-09 10:17:02,0.001150
2023-05-09 10:17:07,0.057186
2023-05-09 10:17:12,0.007970
2023-05-09 10:17:17,0.009934
2023-05-09 10:17:22,0.009885
2023-05-09 10:17:27,0.044343
2023-05-09 10:17:32,0.055656
2023-05-09 10:17:37,0.052777
2023-05-09 10:17:42,0.050746
2023-05-09 10:17:47,0.656441
2023-05-09 10:17:52,1.013418
2023-05-09 10:17:57,0.156434
2023-05-09 10:18:02,0.000011
2023-05-09 10:18:07,0.014153
2023-05-09 10:18:12,0.061253
2023-05-09 10:18:17,0.301447
2023-05-09 10:18:22,0.073063
2023-05-09 10:18:27,0.058758
2023-05-09 10:18:32,0.047345
2023-05-09 10:18:37,0.006455
2023-05-09 10:18:42,0.000001
2023-05-09 10:18:47,0.011639
2023-05-09 10:18:52,0.000000
2023-05-09 10:18:57,0.000333
2023-05-09 10:19:02,0.014936
2023-05-09 10:19:07,0.000643
2023-05-09 10:19:12,0.012496
2023-05-09 10:19:17,0.047627
2023-05-09 10:19:22,0.009567
2023-05-09 10:19:27,0.409860
2023-05-09 10:19:32,0.146164
2023-05-09 10:19:37,0.250679
2023-05-09 10:19:42,0.015490
2023-05-09 10:19:47,0.032239
2023-05-09 10:19:52,0.008738
2023-05-09 10:19:57,0.144204
2023-05-09 10:20:02,0.500270
2023-05-09 10:20:07,0.044526
2023-05-09 10:20:12,0.037566
2023-05-09 10:20:17,0.014611
2023-05-09 10:20:22,0.003088
2023-05-09 10:20:27,0.051388
2023-05-09 10:20:32,0.030449
2023-05-09 10:20:37,0.007049
2023-05-09 10:20:42,0.012106
2023-05-09 10:20:47,0.109574
2023-05-09 10:20:52,0.169052
2023-05-09 10:20:57,0.733709
2023-05-09 10:21:02,0.760146
2023-05-09 10:21:07,0.720676
2023-05-09 10:21:12,1.337913
2023-05-09 10:21:17,1.413872
2023-05-09 10:21:22,1.368218
2023-05-09 10:21:27,1.321797
2023-05-09 10:21:32,1.176844
2023-05-09 10:21:37,1.262870
2023-05-09 10:21:42,1.295831
2023-05-09 10:21:47,1.218066
2023-05-09 10:21:52,1.295974
2023-05-09 10:21:57,1.272700
2023-05-09 10:22:02,1.468407
2023-05-09 10:22:07,1.476493
2023-05-09 10:22:12,1.479524
2023-05-09 10:22:17,1.421251
2023-05-09 10:22:22,1.429094
2023-05-09 10:22:27,1.368948
2023-05-09 10:22:32,1.452917
2023-05-09 10:22:37,1.424584
2023-05-09 10:22:42,1.390483
2023-05-09 10:22:47,1.451591
2023-05-09 10:22:52,1.407317
2023-05-09 10:22:57,1.380210
2023-05-09 10:23:02,1.450755
2023-05-09 10:23:07,1.417583
2023-05-09 10:23:12,1.487000
2023-05-09 10:23:17,1.555411
2023-05-09 10:23:22,1.463607
2023-05-09 10:23:27,1.484684
2023-05-09 10:23:32,1.428622
2023-05-09 10:23:37,1.409284
2023-05-09 10:23:42,1.440485
2023-05-09 10:23:47,1.520356
2023-05-09 10:23:52,1.415692
2023-05-09 10:23:57,1.481821
2023-05-09 10:24:02,1.430008
2023-05-09 10:24:07,1.338313
2023-05-09 10:24:12,1.372881
2023-05-09 10:24:17,1.474000
2023-05-09 10:24:22,1.384801
2023-05-09 10:24:27,1.401942
2023-05-09 10:24:32,1.424162
2023-05-09 10:24:37,1.417610
2023-05-09 10:24:42,1.438529
2023-05-09 10:24:47,1.434823
2023-05-09 10:24:52,1.457505
2023-05-09 10:24:57,1.403044
2023-05-09 10:25:02,1.539460
2023-05-09 10:25:07,1.477106
2023-05-09 10:25:12,1.407760
2023-05-09 10:25:17,1.403617
2023-05-09 10:25:22,1.404249
2023-05-09 10:25:27,1.394074
2023-05-09 10:25:32,1.360065
2023-05-09 10:25:37,1.436446
2023-05-09 10:25:42,1.469369
2023-05-09 10:25:47,1.374425
2023-05-09 10:25:52,1.431361
2023-05-09 10:25:57,1.416402
2023-05-09 10:26:02,1.397769
2023-05-09 10:26:07,1.381246
2023-05-09 10:26:12,1.389914
2023-05-09 10:26:17,1.401126
2023-05-09 10:26:22,1.430927
2023-05-09 10:26:27,1.306082
2023-05-09 10:26:32,1.344471
2023-05-09 10:26:37,1.441342
2023-05-09 10:26:42,1.456711
2023-05-09 10:26:47,1.467459
2023-05-09 10:26:52,1.389000
2023-05-09 10:26:57,1.434583
2023-05-09 10:27:02,1.415056
2023-05-09 10:27:07,1.299405
2023-05-09 10:27:12,1.377801
2023-05-09 10:27:17,1.362034
2023-05-09 10:27:22,1.479776
2023-05-09 10:27:27,1.493823
2023-05-09 10:27:32,1.460782
2023-05-09 10:27:37,1.412803
2023-05-09 10:27:42,1.488718
2023-05-09 10:27:47,1.503532
2023-05-09 10:27:52,1.475739
2023-05-09 10:27:57,1.458463
2023-05-09 10:28:02,1.363406
2023-05-09 10:28:07,1.372498
2023-05-09 10:28:12,1.413201
2023-05-09 10:28:17,1.351307
2023-05-09 10:28:22,1.391809
2023-05-09 10:28:27,1.351722
2023-05-09 10:28:32,1.388252
2023-05-09 10:28:37,1.331843
2023-05-09 10:28:42,1.420354
2023-05-09 10:28:47,1.454658
2023-05-09 10:28:52,1.368311
2023-05-09 10:28:57,1.453151
2023-05-09 10:29:02,1.370764
2023-05-09 10:29:07,1.443593
2023-05-09 10:29:12,1.433368
2023-05-09 10:29:17,1.477951
2023-05-09 10:29:22,1.392789
2023-05-09 10:29:27,1.359628
2023-05-09 10:29:32,1.400008
2023-05-09 10:29:37,1.435284
2023-05-09 10:29:42,1.398736
2023-05-09 10:29:47,1.328031
2023-05-09 10:29:52,1.421147
2023-05-09 10:29:57,1.418775
2023-05-09 10:30:02,1.422888
2023-05-09 10:30:07,1.465054
2023-05-09 10:30:12,1.356609
2023-05-09 10:30:17,1.394880
2023-05-09 10:30:22,1.391900
2023-05-09 10:30:27,1.512808
2023-05-09 10:30:32,1.379199
2023-05-09 10:30:37,1.439771
2023-05-09 10:30:42,1.356817
2023-05-09 10:30:47,1.403847
2023-05-09 10:30:52,1.551707
2023-05-09 10:30:57,1.414545
2023-05-09 10:31:02,1.417845
2023-05-09 10:31:07,1.452159
2023-05-09 10:31:12,1.502342
2023-05-09 10:31:17,1.365858
2023-05-09 10:31:22,1.430435
2023-05-09 10:31:27,1.410029
2023-05-09 10:31:32,1.355093
2023-05-09 10:31:37,1.341085
2023-05-09 10:31:42,1.308288
2023-05-09 10:31:47,1.388521
2023-05-09 10:31:52,1.445176
2023-05-09 10:31:57,0.943096
2023-05-09 10:32:02,0.605394
2023-05-09 10:32:07,0.623840
2023-05-09 10:32:12,0.654411
2023-05-09 10:32:17,0.918272
2023-05-09 10:32:22,0.787779
2023-05-09 10:32:27,0.835479
2023-05-09 10:32:32,0.774077
2023-05-09 10:32:37,0.708994
2023-05-09 10:32:42,0.691361
2023-05-09 10:32:47,0.616654
2023-05-09 10:32:52,0.256993
2023-05-09 10:32:57,0.272282
2023-05-09 10:33:02,0.256149
2023-05-09 10:33:07,0.231126
2023-05-09 10:33:12,0.214348
2023-05-09 10:33:17,0.211027
2023-05-09 10:33:22,0.202229
2023-05-09 10:33:27,0.116855
2023-05-09 10:33:32,0.316645
2023-05-09 10:33:37,0.273781
2023-05-09 10:33:42,0.277772
2023-05-09 10:33:47,0.254024
2023-05-09 10:33:52,0.173802
2023-05-09 10:33:57,0.351672
2023-05-09 10:34:02,0.361930
2023-05-09 10:34:07,0.345590
2023-05-09 10:34:12,0.330599
2023-05-09 10:34:17,0.340150
2023-05-09 10:34:22,0.353743
2023-05-09 10:34:27,0.341282
2023-05-09 10:34:32,0.319351
2023-05-09 10:34:37,0.369488
2023-05-09 10:34:42,0.368090
2023-05-09 10:34:47,0.348855
2023-05-09 10:34:52,0.366992
2023-05-09 10:34:57,0.298904
2023-05-09 10:35:02,0.370116
2023-05-09 10:35:07,0.303189
2023-05-09 10:35:12,0.285987
2023-05-09 10:35:17,0.325880
2023-05-09 10:35:22,0.361931
2023-05-09 10:35:27,0.265940
2023-05-09 10:35:32,0.188987
2023-05-09 10:35:37,0.228284
2023-05-09 10:35:42,0.188077
2023-05-09 10:35:47,0.245461
2023-05-09 10:35:52,0.136218
2023-05-09 10:35:57,0.087345
2023-05-09 10:36:02,0.050641
2023-05-09 10:36:07,0.012481
2023-05-09 10:36:12,0.034890
2023-05-09 10:36:17,0.076458
2023-05-09 10:36:22,0.087224
2023-05-09 10:36:27,0.206360
2023-05-09 10:36:32,0.052342
2023-05-09 10:36:37,0.066035
2023-05-09 10:36:42,0.022499
2023-05-09 10:36:47,0.020817
2023-05-09 10:36:52,0.021015
2023-05-09 10:36:57,0.021104
2023-05-09 10:37:02,0.020961
2023-05-09 10:37:07,0.020852
2023-05-09 10:37:12,0.020808
2023-05-09 10:37:17,0.020727
2023-05-09 10:37:22,0.020759
2023-05-09 10:37:27,0.020794
2023-05-09 10:37:32,0.020677
2023-05-09 10:37:37,0.020291
2023-05-09 10:37:42,0.020309
2023-05-09 10:37:47,0.020360
2023-05-09 10:37:52,0.020106
2023-05-09 10:37:57,0.020067
